iter	TotalF1	MultiClass
633	0.8714177708	0.5179968946
634	0.8714874534	0.517899153
635	0.8714309936	0.5171826307
636	0.8714045256	0.5170648871
637	0.8714045256	0.5169588203
638	0.8713264838	0.5168768138
639	0.8714870251	0.5166121992
640	0.8723390909	0.5160107735
641	0.8725780799	0.5159503352
642	0.8721280391	0.5155837951
643	0.8721280391	0.5155093127
644	0.872262977	0.5151104319
645	0.8720564612	0.5149877294
646	0.8723413854	0.5149203108
647	0.87214246	0.5146536465
648	0.8721072854	0.5145479888
649	0.8720721099	0.5144318033
650	0.8721066498	0.5142535269
651	0.8721066498	0.514205273
652	0.8724341722	0.5138889682
653	0.872395211	0.5137840751
654	0.8726669547	0.5135168957
655	0.8727078284	0.5133391681
656	0.8729189002	0.5132059738
657	0.8734810703	0.5130021561
658	0.8735221231	0.5128970159
659	0.8734810703	0.5128154747
660	0.8735221231	0.5127076535
661	0.8735494057	0.5125221801
662	0.8734391367	0.5123678962
663	0.8739155753	0.5118120211
664	0.8741589567	0.5115778285
665	0.8743228155	0.5114312545
666	0.8743962737	0.5113379811
667	0.8743962737	0.5111377366
668	0.8743962737	0.511079517
669	0.8744842815	0.5108753955
670	0.8746359567	0.5107895379
671	0.8747063425	0.5107140623
672	0.875121185	0.510595535
673	0.8747301784	0.5101757067
674	0.8748032552	0.5100683494
675	0.8752575615	0.5099484165
676	0.8750114428	0.5098176266
677	0.8750127085	0.5095758739
678	0.8757095195	0.5093473919
679	0.8754624688	0.5091465244
680	0.8754624688	0.5090114898
681	0.8756667527	0.5089171944
682	0.8758212422	0.5088475816
683	0.8757507271	0.5087512133
684	0.8757495781	0.508667215
685	0.8758212422	0.5084287438
686	0.875781756	0.5081860911
687	0.8758596621	0.50811252
688	0.8761585391	0.5077074516
689	0.8766083493	0.5071630736
690	0.8765229926	0.5070532785
691	0.8769317306	0.5066402084
692	0.8768920434	0.5065175867
693	0.8772807334	0.5059913695
694	0.8772750226	0.505517831
695	0.8775404176	0.5054227852
696	0.8775404176	0.5053072823
697	0.8776080549	0.50521677
698	0.878207812	0.5047119627
699	0.8782560102	0.5045336654
700	0.8781961922	0.5044501902
701	0.8785759669	0.5042667445
702	0.8785759669	0.50421659
703	0.8785759669	0.5041377073
704	0.8787495121	0.5040638182
705	0.8788812209	0.5039948518
706	0.8789980587	0.5039121778
707	0.8789980587	0.5038162588
708	0.8789980587	0.5037022847
709	0.878940084	0.5035071492
710	0.8794335896	0.5029578676
711	0.8797024699	0.5026983746
712	0.8797929174	0.502148791
713	0.8797839378	0.5013416358
714	0.8799224434	0.5012787971
715	0.8803895768	0.500818908
716	0.8805540118	0.5007431965
717	0.8805540118	0.5006885566
718	0.8809571032	0.5005364823
719	0.881342194	0.5002195377
720	0.881267833	0.5000442126
721	0.8813456453	0.4999957359
722	0.8814550354	0.4998075449
723	0.8815072567	0.4994546441
724	0.8815072567	0.4993248799
725	0.881585011	0.4992455227
726	0.8817881512	0.4991013462
727	0.882071266	0.4990077995
728	0.88207455	0.498915925
729	0.8823671595	0.4988326329
730	0.8824050682	0.4987639118
731	0.8827493919	0.4984797795
732	0.8827493919	0.4984136971
733	0.8830053254	0.4983369713
734	0.8828898297	0.4981350447
735	0.882930535	0.4980633489
736	0.8828999745	0.4978624547
737	0.8829465365	0.4974973204
738	0.8829433361	0.4972663743
739	0.8826613746	0.4969001693
740	0.8824035062	0.4965845528
741	0.8825287992	0.4963993891
742	0.8825287992	0.4962920747
743	0.8824579433	0.4962221344
744	0.8824579433	0.4961652155
745	0.8826751741	0.4957925734
746	0.8829780234	0.4954773535
747	0.8832607967	0.4951655402
748	0.8831390132	0.494896322
749	0.8831245296	0.4944013408
750	0.8832894975	0.4942451011
751	0.883456931	0.4940580669
752	0.8836644516	0.4939042142
753	0.8837565894	0.4935274729
754	0.8839799648	0.4934683116
755	0.8840152612	0.4934092316
756	0.8840152612	0.4933633332
757	0.8840993363	0.4932474583
758	0.8843693029	0.4923719701
759	0.8844401949	0.4922819188
760	0.8849516179	0.4921539909
761	0.8849516179	0.49206212
762	0.8849508663	0.4919639822
763	0.8846540366	0.491529727
764	0.8849982936	0.4911540264
765	0.8852107741	0.4910647029
766	0.8852686798	0.4908943307
767	0.8855270967	0.4906381002
768	0.8854429271	0.4903046481
769	0.8854429271	0.4901854499
770	0.8854457461	0.4900985761
771	0.8854457461	0.4900407526
772	0.8859864745	0.4899106718
773	0.8860057301	0.4896537559
774	0.8861118192	0.4894410326
775	0.8861118192	0.4893958428
776	0.8861118192	0.4893008798
777	0.8854217267	0.4886073549
778	0.8854217267	0.4885670564
779	0.8854217267	0.4884855954
780	0.8857313741	0.488232735
781	0.8856992034	0.4878996982
782	0.885770152	0.4878172186
783	0.8855326424	0.487733757
784	0.8858459101	0.4875566475
785	0.8860512138	0.4874777566
786	0.886020491	0.4873250573
787	0.8860592876	0.4872371911
788	0.8863406981	0.4869876514
789	0.8864651502	0.4866721623
790	0.8864322701	0.4866307426
791	0.8865356612	0.4865705094
792	0.8865872653	0.486297242
793	0.8866831515	0.4860956179
794	0.8866831515	0.4860649778
795	0.8870676142	0.4857910709
796	0.8871082042	0.4857497444
797	0.8872791558	0.4849823826
798	0.8873204424	0.4849256333
799	0.8873204424	0.4848426066
800	0.8873947967	0.484683979
801	0.8873394642	0.484158933
802	0.8873394642	0.4840836506
803	0.8873394642	0.484038889
804	0.8870449635	0.4837904727
805	0.8869170794	0.4836314024
806	0.8868420989	0.4834107468
807	0.8868408266	0.483332029
808	0.8869237219	0.4831991096
809	0.8868012049	0.4831395577
810	0.8868012049	0.4830688214
811	0.8868340799	0.4830284439
812	0.8869237219	0.4829630184
813	0.8867956599	0.4826944285
814	0.887404723	0.4822101816
815	0.8873542423	0.4819207391
816	0.8873991212	0.4817347415
817	0.8873991212	0.4816732772
818	0.8873991212	0.4815992724
819	0.8874345701	0.4815290713
820	0.8875158368	0.4814686672
821	0.8875276436	0.4813636918
822	0.8874683091	0.4811529706
823	0.8874683091	0.4810903845
824	0.8874683091	0.4810384159
825	0.8874683091	0.4809859544
826	0.887613751	0.4808754856
827	0.8876506391	0.480773532
828	0.887810183	0.4806273887
829	0.8880060179	0.480516394
830	0.8883956875	0.4800634697
831	0.8884311726	0.4800252792
832	0.8885085454	0.4799456615
833	0.8890218798	0.4796865369
834	0.8889417563	0.4796189889
835	0.8890516332	0.4793057854
836	0.8890881996	0.4789267008
837	0.8890881996	0.4788714478
838	0.8887780809	0.4786082667
839	0.8890074004	0.4783263498
840	0.889205176	0.4779706554
841	0.8892792077	0.4778748099
842	0.8892792077	0.4778213227
843	0.8892792077	0.4777496025
844	0.8893178911	0.477696113
845	0.8892631483	0.4774334749
846	0.8892244986	0.4773342797
847	0.8891834587	0.4769815357
848	0.8891834587	0.4769212977
849	0.8892850459	0.4768320547
850	0.889288519	0.4766820561
851	0.8891725287	0.4765709905
852	0.8891015069	0.476513828
853	0.889030482	0.4764738247
854	0.889030482	0.4764258717
855	0.8891077953	0.4763642904
856	0.8892184409	0.4763104937
857	0.8891478404	0.4758996622
858	0.8892091732	0.4757981931
859	0.8890503153	0.4753365731
860	0.8891276717	0.4752348149
861	0.8893317014	0.4750754105
862	0.8894463819	0.474926722
863	0.8893366853	0.474830619
864	0.8893026832	0.474745274
865	0.8893026832	0.474707293
866	0.8898972678	0.4744454141
867	0.8901788492	0.4742293851
868	0.8904597185	0.473816641
869	0.890846253	0.4735845477
870	0.8906613646	0.4734307839
871	0.8906938168	0.4731925176
872	0.8906938168	0.47311893
873	0.8905181015	0.4729266471
874	0.8905181015	0.472860207
875	0.8905181015	0.4727943111
876	0.8906468571	0.4723923562
877	0.8907194441	0.4722956613
878	0.8907194441	0.4722103406
879	0.8907879163	0.4721007447
880	0.890946284	0.4720126666
881	0.8908436585	0.4717731584
